cat_1,cat_2,cat_3
Vintage & collectibles,Bags and purses,Purse
Vintage & collectibles,Bags and purses,Clutch
Vintage & collectibles,Bags and purses,Leather
Vintage & collectibles,Bags and purses,Luggage
Vintage & collectibles,Bags and purses,Formal
Vintage & collectibles,Bags and purses,Tote
Vintage & collectibles,Bags and purses,Pouch
Vintage & collectibles,Bags and purses,Case
Vintage & collectibles,Bags and purses,Wallet
Vintage & collectibles,Bags and purses,Change purse
Vintage & collectibles,Bags and purses,Diaper bag
Vintage & collectibles,Bags and purses,Other
Vintage & collectibles,Toy,Doll
Vintage & collectibles,Toy,Game
Vintage & collectibles,Toy,Animal
Vintage & collectibles,Toy,Action figure
Vintage & collectibles,Toy,Children
Vintage & collectibles,Toy,Car
Vintage & collectibles,Toy,Puzzle
Vintage & collectibles,Toy,Sport
Vintage & collectibles,Toy,Block
Vintage & collectibles,Toy,Electronic
Vintage & collectibles,Toy,Other
Vintage & collectibles,Electronics,Camera
Vintage & collectibles,Electronics,Clock
Vintage & collectibles,Electronics,Radio
Vintage & collectibles,Electronics,Telephone
Vintage & collectibles,Electronics,Video game
Vintage & collectibles,Electronics,Television
Vintage & collectibles,Electronics,Game
Vintage & collectibles,Electronics,Other
Vintage & collectibles,Furniture,Shelf
Vintage & collectibles,Furniture,Table
Vintage & collectibles,Furniture,Fixture
Vintage & collectibles,Furniture,Chair
Vintage & collectibles,Furniture,Mirror
Vintage & collectibles,Furniture,Storage
Vintage & collectibles,Furniture,Bench
Vintage & collectibles,Furniture,Dresser
Vintage & collectibles,Furniture,Bookcase
Vintage & collectibles,Furniture,Bed
Vintage & collectibles,Furniture,Desk
Vintage & collectibles,Furniture,Entertainment
Vintage & collectibles,Furniture,Other
Vintage & collectibles,Trading cards,Animation
Vintage & collectibles,Trading cards,"Sci-Fi, fantasy"
Vintage & collectibles,Trading cards,Vintage
Vintage & collectibles,Trading cards,Comic
Vintage & collectibles,Trading cards,"Action, adventure"
Vintage & collectibles,Trading cards,"Historical, military"
Vintage & collectibles,Trading cards,Sports
Vintage & collectibles,Trading cards,Price guides & publications
Vintage & collectibles,Trading cards,Other
Vintage & collectibles,Other,Other
Handmade,Housewares,Home decor
Handmade,Housewares,Pillows
Handmade,Housewares,Wall decor
Handmade,Housewares,Lighting
Handmade,Housewares,Kitchen
Handmade,Housewares,Entertaining/serving
Handmade,Housewares,Bedroom
Handmade,Housewares,Frames
Handmade,Housewares,Clocks
Handmade,Housewares,Magnets
Handmade,Housewares,Rugs
Handmade,Housewares,Bathroom
Handmade,Housewares,Outdoor
Handmade,Housewares,Office
Handmade,Housewares,Storage solutions
Handmade,Housewares,Cleaning
Handmade,Housewares,Other
Handmade,Art,Photography
Handmade,Art,Print
Handmade,Art,Painting
Handmade,Art,Mixed media
Handmade,Art,Sculptures
Handmade,Art,Illustration
Handmade,Art,Collages
Handmade,Art,Drawings
Handmade,Art,Fiber art
Handmade,Art,Printmaking
Handmade,Art,Aceo
Handmade,Art,Other
Handmade,Woodworking,Home decor
Handmade,Woodworking,Signs
Handmade,Woodworking,Boxes
Handmade,Woodworking,Fretwork
Handmade,Woodworking,Burning
Handmade,Woodworking,Sculptures
Handmade,Woodworking,Kitchen
Handmade,Woodworking,Carving
Handmade,Woodworking,Outdoor
Handmade,Woodworking,Clocks
Handmade,Woodworking,Seasonal
Handmade,Woodworking,Toys
Handmade,Woodworking,Supplies
Handmade,Woodworking,Accessories
Handmade,Woodworking,Jewelry
Handmade,Woodworking,Office
Handmade,Woodworking,Sports
Handmade,Woodworking,Miniature
Handmade,Woodworking,Inlay
Handmade,Woodworking,Other
Handmade,Ceramics and pottery,Home decor
Handmade,Ceramics and pottery,Vases
Handmade,Ceramics and pottery,Bowls
Handmade,Ceramics and pottery,Tiles
Handmade,Ceramics and pottery,Sculptures
Handmade,Ceramics and pottery,Planters
Handmade,Ceramics and pottery,Kitchen
Handmade,Ceramics and pottery,Jars
Handmade,Ceramics and pottery,Coasters
Handmade,Ceramics and pottery,Miniature
Handmade,Ceramics and pottery,Soap dish
Handmade,Ceramics and pottery,Teapots
Handmade,Ceramics and pottery,Jewelry
Handmade,Ceramics and pottery,Supplies
Handmade,Ceramics and pottery,Other
Handmade,Glass,Home decor
Handmade,Glass,Stained glass
Handmade,Glass,Glassware
Handmade,Glass,Vases
Handmade,Glass,Bottles
Handmade,Glass,Dishes
Handmade,Glass,Bowls
Handmade,Glass,Paperweights
Handmade,Glass,Sculptures
Handmade,Glass,Ornaments
Handmade,Glass,Windchimes
Handmade,Glass,Mirrors
Handmade,Glass,Beads
Handmade,Glass,Supplies
Handmade,Glass,Jewelry
Handmade,Glass,Marbles
Handmade,Glass,Other
Handmade,Others,Custom
Handmade,Others,Personalized
Handmade,Others,Graphic design
Handmade,Others,Religious
Handmade,Others,Magic
Handmade,Others,Educational
Handmade,Others,Other
Handmade,Weddings,Decorations
Handmade,Weddings,Favors
Handmade,Weddings,Cake toppers
Handmade,Weddings,Frames
Handmade,Weddings,Accessories
Handmade,Weddings,Bouquets
Handmade,Weddings,Just married
Handmade,Weddings,Candles
Handmade,Weddings,Guest books
Handmade,Weddings,Pillows
Handmade,Weddings,Invitations
Handmade,Weddings,Albums
Handmade,Weddings,Cards
Handmade,Weddings,Something blue
Handmade,Weddings,Portraits
Handmade,Weddings,Men
Handmade,Weddings,Jewelry
Handmade,Weddings,Bags and purses
Handmade,Weddings,Clothing
Handmade,Weddings,Other
Handmade,Holidays,Christmas
Handmade,Holidays,Easter
Handmade,Holidays,Halloween
Handmade,Holidays,Valentine
Handmade,Holidays,Patriotic
Handmade,Holidays,Thanksgiving
Handmade,Holidays,Birthday
Handmade,Holidays,St Patricks
Handmade,Holidays,Hanukkah
Handmade,Holidays,Day of the dead
Handmade,Holidays,New years
Handmade,Holidays,Other
Handmade,Dolls and miniatures,Scale dollhouse miniature
Handmade,Dolls and miniatures,Miniature
Handmade,Dolls and miniatures,Primitive
Handmade,Dolls and miniatures,Art doll
Handmade,Dolls and miniatures,Animals
Handmade,Dolls and miniatures,Waldorf
Handmade,Dolls and miniatures,Plush
Handmade,Dolls and miniatures,Soft sculpture
Handmade,Dolls and miniatures,Fantasy
Handmade,Dolls and miniatures,Figurines
Handmade,Dolls and miniatures,Child friendly
Handmade,Dolls and miniatures,Artist bears
Handmade,Dolls and miniatures,Amigurumi
Handmade,Dolls and miniatures,Human figure doll
Handmade,Dolls and miniatures,Scale models
Handmade,Dolls and miniatures,Fashion dolls apparel
Handmade,Dolls and miniatures,Puppets
Handmade,Dolls and miniatures,Other
Handmade,Children,Housewares
Handmade,Children,Art
Handmade,Children,Baby
Handmade,Children,Toy
Handmade,Children,Accessories
Handmade,Children,Furniture
Handmade,Children,Toddler
Handmade,Children,Clothing
Handmade,Children,Bath
Handmade,Children,Jewelry
Handmade,Children,Other
Handmade,Needlecraft,Embroidery
Handmade,Needlecraft,Pillow
Handmade,Needlecraft,Cross stitch
Handmade,Needlecraft,Needlepoint
Handmade,Needlecraft,Felted
Handmade,Needlecraft,Pincushion
Handmade,Needlecraft,Pattern
Handmade,Needlecraft,Holidays
Handmade,Needlecraft,Accessories
Handmade,Needlecraft,Doll
Handmade,Needlecraft,Supplies
Handmade,Needlecraft,Clothing
Handmade,Needlecraft,Other
Handmade,Geekery,Housewares
Handmade,Geekery,Humor
Handmade,Geekery,Kitsch
Handmade,Geekery,Science
Handmade,Geekery,Electronic
Handmade,Geekery,Accessory
Handmade,Geekery,Computer
Handmade,Geekery,Gadget
Handmade,Geekery,Videogame
Handmade,Geekery,Fantasy
Handmade,Geekery,Robot
Handmade,Geekery,Horror
Handmade,Geekery,Magic
Handmade,Geekery,Toy
Handmade,Geekery,Jewelry
Handmade,Geekery,Other
Handmade,Paper goods,Sticker
Handmade,Paper goods,Cards
Handmade,Paper goods,Origami
Handmade,Paper goods,Scrapbooking
Handmade,Paper goods,Papermaking
Handmade,Paper goods,Stationery
Handmade,Paper goods,Tag
Handmade,Paper goods,Calendar
Handmade,Paper goods,Gift wrap
Handmade,Paper goods,Journal
Handmade,Paper goods,Notebook
Handmade,Paper goods,Bookplate
Handmade,Paper goods,Pad
Handmade,Paper goods,Bookmark
Handmade,Paper goods,Other
Handmade,Candles,Sticker
Handmade,Candles,Cards
Handmade,Candles,Origami
Handmade,Candles,Scrapbooking
Handmade,Candles,Papermaking
Handmade,Candles,Stationery
Handmade,Candles,Tag
Handmade,Candles,Calendar
Handmade,Candles,Gift wrap
Handmade,Candles,Journal
Handmade,Candles,Notebook
Handmade,Candles,Bookplate
Handmade,Candles,Pad
Handmade,Candles,Bookmark
Handmade,Candles,Other
Handmade,Patterns,Crochet
Handmade,Patterns,Beading
Handmade,Patterns,Cross stitch
Handmade,Patterns,Handmade
Handmade,Patterns,Embroidery
Handmade,Patterns,Sewing
Handmade,Patterns,Home
Handmade,Patterns,Quilt
Handmade,Patterns,Holiday
Handmade,Patterns,Painting
Handmade,Patterns,Knitting
Handmade,Patterns,Amigurumi
Handmade,Patterns,Plushie
Handmade,Patterns,Accessories
Handmade,Patterns,Baby
Handmade,Patterns,Clothing
Handmade,Patterns,Doll clothing
Handmade,Patterns,Other
Handmade,Crochet,Housewares
Handmade,Crochet,Afghan
Handmade,Crochet,Supplies
Handmade,Crochet,Accessories
Handmade,Crochet,Doll
Handmade,Crochet,Hat
Handmade,Crochet,Bags and purses
Handmade,Crochet,Scarf
Handmade,Crochet,Clothing
Handmade,Crochet,Jewelry
Handmade,Crochet,Other
Handmade,Furniture,Shelf
Handmade,Furniture,Table
Handmade,Furniture,Fixture
Handmade,Furniture,Chair
Handmade,Furniture,Mirror
Handmade,Furniture,Storage
Handmade,Furniture,Bench
Handmade,Furniture,Dresser
Handmade,Furniture,Bookcase
Handmade,Furniture,Bed
Handmade,Furniture,Desk
Handmade,Furniture,Entertainment
Handmade,Furniture,Other
Handmade,Quilts,Table runner
Handmade,Quilts,Wall hanging
Handmade,Quilts,Bed
Handmade,Quilts,Patchwork
Handmade,Quilts,Pillow
Handmade,Quilts,Traditional
Handmade,Quilts,Mini
Handmade,Quilts,Baby
Handmade,Quilts,Applique
Handmade,Quilts,Geometric
Handmade,Quilts,Rag
Handmade,Quilts,Fabric postcard
Handmade,Quilts,Patch
Handmade,Quilts,Trim
Handmade,Quilts,Other
Handmade,Accessories,Women
Handmade,Accessories,Apron
Handmade,Accessories,Case
Handmade,Accessories,Keychain
Handmade,Accessories,Mirror
Handmade,Accessories,Cozy
Handmade,Accessories,Patch
Handmade,Accessories,Pin
Handmade,Accessories,Scarf
Handmade,Accessories,Charm
Handmade,Accessories,Hair
Handmade,Accessories,Shawl
Handmade,Accessories,Men
Handmade,Accessories,Leg warmers
Handmade,Accessories,Eyewear
Handmade,Accessories,Pinback button
Handmade,Accessories,Hat
Handmade,Accessories,Belt
Handmade,Accessories,Gloves
Handmade,Accessories,Cuff
Handmade,Accessories,Wallet
Handmade,Accessories,Lanyard
Handmade,Accessories,Watch
Handmade,Accessories,Necktie
Handmade,Accessories,Other
Handmade,Pets,Pet lover
Handmade,Pets,Bed
Handmade,Pets,Portrait
Handmade,Pets,Bowl
Handmade,Pets,Feeding
Handmade,Pets,House
Handmade,Pets,Accessories
Handmade,Pets,Pillow
Handmade,Pets,Blanket
Handmade,Pets,Small animal
Handmade,Pets,Toy
Handmade,Pets,Grooming
Handmade,Pets,Collar
Handmade,Pets,Leash
Handmade,Pets,Clothing
Handmade,Pets,Tag
Handmade,Pets,Other
Handmade,Toys,Plush
Handmade,Toys,Children
Handmade,Toys,Waldorf
Handmade,Toys,Doll
Handmade,Toys,Miniature
Handmade,Toys,Food
Handmade,Toys,Puzzle
Handmade,Toys,Baby
Handmade,Toys,Pretend
Handmade,Toys,Bear
Handmade,Toys,Amigurumi
Handmade,Toys,Game
Handmade,Toys,Puppet
Handmade,Toys,Doll clothes
Handmade,Toys,Sports
Handmade,Toys,Blythe
Handmade,Toys,Other
Handmade,Knitting,Housewares
Handmade,Knitting,Blanket
Handmade,Knitting,Knitting supplies
Handmade,Knitting,Cozy
Handmade,Knitting,Accessories
Handmade,Knitting,Sweater
Handmade,Knitting,Children
Handmade,Knitting,Doll
Handmade,Knitting,Clothing
Handmade,Knitting,Baby
Handmade,Knitting,Bags and purses
Handmade,Knitting,Hat
Handmade,Knitting,Women
Handmade,Knitting,Men
Handmade,Knitting,Scarf
Handmade,Knitting,Other
Handmade,Bags and purses,Tote
Handmade,Bags and purses,Purse
Handmade,Bags and purses,Pouch
Handmade,Bags and purses,Novelty
Handmade,Bags and purses,Messenger
Handmade,Bags and purses,Wristlet
Handmade,Bags and purses,Clutch
Handmade,Bags and purses,Wallet
Handmade,Bags and purses,Diaper bag
Handmade,Bags and purses,Laptop
Handmade,Bags and purses,Backpack
Handmade,Bags and purses,Hip bag
Handmade,Bags and purses,Other
Handmade,Jewelry,Jewelry
Handmade,Jewelry,Books and zines
Handmade,Jewelry,Clothing
Handmade,Jewelry,Music
Handmade,Jewelry,Other
Handmade,Books and zines,Book
Handmade,Books and zines,Journal
Handmade,Books and zines,Bookmark
Handmade,Books and zines,Album
Handmade,Books and zines,Zine
Handmade,Books and zines,Comic
Handmade,Books and zines,Other
Handmade,Clothing,Shoes
Handmade,Clothing,Tshirt
Handmade,Clothing,Women
Handmade,Clothing,Costume
Handmade,Clothing,Children
Handmade,Clothing,Shirt
Handmade,Clothing,Shawl
Handmade,Clothing,Men
Handmade,Clothing,Lingerie
Handmade,Clothing,Dress
Handmade,Clothing,Corset
Handmade,Clothing,Other
Handmade,Music,Vinyl
Handmade,Music,Poster
Handmade,Music,Instrument
Handmade,Music,Equipment
Handmade,Music,Case
Handmade,Music,Tape
Handmade,Music,Other
Handmade,Other,Other
Other,Books,Reference
Other,Books,History
Other,Books,Literature & fiction
Other,Books,Business & money
Other,Books,Politics & social sciences
Other,Books,Science & math
Other,Books,Religion & spirituality
Other,Books,Children's books
Other,Books,Arts & photography
Other,Books,Education & teaching
Other,Books,Medical books
Other,Books,Engineering & transportation
Other,Books,Biographies & memoirs
Other,Books,Christian books & bibles
Other,Books,Other
Other,Magazines,Lifestyle & cultures
Other,Magazines,International publications
Other,Magazines,Professional & trade
Other,Magazines,Other
Other,Pet supplies,Cage
Other,Pet supplies,Others
Other,Daily & travel items,Baby & child care
Other,Daily & travel items,Health care
Other,Daily & travel items,Household supplies
Other,Daily & travel items,Medical supplies & equipment
Other,Daily & travel items,Personal care
Other,Daily & travel items,Sports nutrition
Other,Daily & travel items,Stationery & party supplies
Other,Daily & travel items,Other
Other,Automotive,Car care
Other,Automotive,Car electronics & accessories
Other,Automotive,Exterior accessories
Other,Automotive,Interior accessories
Other,Automotive,Lights & lighting accessories
Other,Automotive,Motorcycle & powersports
Other,Automotive,Oils & fluids
Other,Automotive,"Paint, body & trim"
Other,Automotive,Performance parts & accessories
Other,Automotive,Replacement parts
Other,Automotive,RV parts & accessories
Other,Automotive,Tires & wheels
Other,Automotive,Tools & equipment
Other,Automotive,Automotive enthusiast merchandise
Other,Automotive,Other
Other,Office supplies,Basic supplies
Other,Office supplies,School supplies
Other,Office supplies,Ink & toner
Other,Office supplies,Paper
Other,Office supplies,Writing
Other,Office supplies,Electronics
Other,Office supplies,Organization
Other,Office supplies,Shipping supplies
Other,Office supplies,Calendars
Other,Office supplies,Presentation
Other,Office supplies,Furniture
Other,Office supplies,Other
Other,Musical instruments,Guitars
Other,Musical instruments,Bass guitars
Other,Musical instruments,Drums & percussion
Other,Musical instruments,Keyboards
Other,Musical instruments,Amplifiers & effects
Other,Musical instruments,Microphones & accessories
Other,Musical instruments,Brass instruments
Other,Musical instruments,Stringed instruments
Other,Musical instruments,Wind & woodwind instruments
Other,Musical instruments,Band & orchestra
Other,Musical instruments,Instrument accessories
Other,Musical instruments,Live sound & stage
Other,Musical instruments,Studio recording equipment
Other,Musical instruments,"DJ, electronic music & karaoke"
Other,Musical instruments,Other
Other,Other,Other
Men,Men's accessories,Wallets
Women,Underwear,G-strings & thongs
Women,Underwear,Panties
Women,Underwear,Thermal underwear
Women,Underwear,Bras
Women,Underwear,Other
Kids,Girls 0-24 mos,Coats & jackets
Kids,Girls 2t-5t,Coats & jackets
Kids,Girls (4+),Coats & jackets
Kids,Boys 0-24 mos,Coats & jackets
Kids,Boys 2t-5t,Coats & jackets
Kids,Boys (4+),Coats & jackets
Kids,Girls 0-24 mos,Other
Kids,Girls 2t-5t,Other
Kids,Girls (4+),Other
Kids,Boys 0-24 mos,Other
Kids,Boys 2t-5t,Other
Kids,Boys (4+),Other
